"entertainment","dining","cabin","amenities","cocktail_credits","avg_rating"
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","3",6.92624518932284
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","1",7.22963031434795
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","2",9.51225953473866
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","3",5.4409131029386
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","1",7.42785379285626
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","2",6.48952221172265
"Jazz Blues","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","3",5.07068582917223
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","1",9.95450551241565
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","2",9.5531511307748
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","3",8.58893483096415
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","1",9.07965538454901
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","2",7.34419857660377
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","3",5.23121867201235
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","1",6.75695178105258
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","2",5.86287581505023
"Jazz Blues","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","3",7.83995325091355
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","1",9.46831558482126
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","2",8.15697252669137
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","3",6.18974435778136
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","1",8.63882247385382
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","2",6.27660710685773
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","3",4.37563640143778
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","1",8.31090758571479
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","2",5.29925683962511
"Jazz Blues","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","3",7.47667486603011
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","1",8.61797558907302
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","2",9.42919022132853
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","3",6.5729260818883
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","1",5.3981030248896
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","2",3.6824433089559
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","3",3.33375812245363
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","1",7.42670964277582
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","2",5.50783673172617
"Jazz Blues","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","3",4.8962880314612
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","1",5.82377278096179
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","2",7.28971505367505
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","3",7.347457955764
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","1",3.21053129995736
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","2",9.35115731260272
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","3",5.47081274786296
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","1",4.67577539075175
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","2",6.51820372154718
"Jazz Blues","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","3",8.26906623004015
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","1",6.37497888253407
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","2",9.56735971482787
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","3",8.27587126735029
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","1",6.2284944788922
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","2",7.94072801305487
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","3",7.85567817815297
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","1",8.98716634447145
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","2",8.80818761468117
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","3",8.11399132501083
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","1",6.50350657884097
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","2",6.37976651562327
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","3",7.60095780517568
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","1",5.46647525493615
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","2",6.43756643692388
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","3",6.44948503545416
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","1",7.84266483573082
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","2",7.86123596962967
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","3",9.89146914196004
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","1",9.7823181569319
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","2",9.47685200614165
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","3",8.87377539204186
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","1",9.26394283237698
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","2",8.28017868322226
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","3",4.91769475916688
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","1",4.82343547721629
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","2",8.77141104086035
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","3",8.95163744491416
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","1",8.38610190235953
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","2",8.69456829234489
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","3",9.89592300964323
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","1",6.95342088629394
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","2",6.94238673898412
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","3",7.22197420878009
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","1",7.67134882368907
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","2",7.71422727417724
"Acoustic Showcase","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","3",9.18687391714287
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","1",5.45322746812832
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","2",7.44991968707583
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","3",6.24215249405467
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","1",1.16864700645436
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","2",7.80327948781091
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","3",6.53419768887848
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","1",7.30275704481737
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","2",3.67621392753405
"Acoustic Showcase","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","3",3.92026894128677
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","1",7.23128328510977
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","2",8.12340482977033
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","3",4.26810954096504
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","1",6.88868029504349
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","2",7.00254025056229
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","3",4.55189126436873
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","1",5.18699798583668
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","2",4.24728026503618
"Acoustic Showcase","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","3",5.29118000911604
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","1",4.34081883995923
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","2",8.25212390579906
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","3",7.94332414433567
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","1",3.63270771148243
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","2",5.08463887053738
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","3",3.25802762178335
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","1",6.53202916516861
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","2",7.53637622108464
"Acoustic Showcase","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","3",4.97070979117389
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","1",6.64942582595077
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","2",6.32718765095259
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","3",7.4797905607293
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","1",7.60837181931146
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","2",8.317357275367
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","3",3.10595620749417
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","1",4.85819620237627
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","2",6.22516054560741
"Acoustic Showcase","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","3",2.74302775876525
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","1",5.8875474297142
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","2",5.97934428526896
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","3",5.22955664273665
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","1",6.13488091846592
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","2",4.86473947628757
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","3",7.41619451200806
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","1",4.07927195011641
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","2",7.83834622177684
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","3",5.04520606701793
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","1",7.40573388886178
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","2",7.66228704569648
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","3",6.93181078803711
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","1",6.92755390305178
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","2",7.17358939995315
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","3",5.40608426117968
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","1",6.65119593487237
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","2",7.82464487021277
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","3",6.84592375109849
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","1",6.90991713966924
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","2",9.30358310075349
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","3",8.58503067217847
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","1",7.39217885095884
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","2",8.58319177254648
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","3",6.10345585054107
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","1",5.72531058789447
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","2",6.01522673892421
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","3",4.6849142483413
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","1",3.41036505856855
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","2",6.32905710055693
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","3",6.50686363626355
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","1",8.55415062979248
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","2",5.84269726210395
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","3",8.55898366445556
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","1",5.52103572236725
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","2",7.80876985483725
"Acoustic Showcase","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","3",4.84696978200029
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","1",6.38360265084131
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","2",7.80962307363349
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","3",6.22599235715593
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","1",7.8840860054134
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","2",7.93621969569806
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","3",8.01498985604774
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","1",5.50059888602295
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","2",6.50586877149541
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","3",7.62466430596789
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","1",8.18724662721916
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","2",6.72482344301492
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","3",6.59349202382677
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","1",8.11312613418366
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","2",6.96167174072314
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","3",4.08601322538764
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","1",5.26380108767886
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","2",4.93135552652648
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","3",4.10444246927581
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","1",8.39497856485408
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","2",8.15827296757809
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","3",9.98489826038962
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","1",2.86414229805453
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","2",9.24700145525506
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","3",5.41303420509625
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","1",6.11489959047523
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","2",7.30720763149159
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","3",5.82230866281746
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","1",7.42696479141347
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","2",6.07863272951828
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","3",4.40665306697079
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","1",5.60255391804101
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","2",3.72806697872115
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","3",1.82251705154514
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","1",8.26618154892966
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","2",3.20500768464015
"Acoustic Showcase","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","3",8.38599187752089
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","1",8.37819988865673
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","2",9.05428410443455
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","3",9.28712444523359
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","1",8.64918172418943
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","2",7.92014848658
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","3",5.19188113538382
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","1",7.23942368872576
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","2",6.05954737612297
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","3",6.89071261145437
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","1",8.79422185265359
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","2",9.93510638463513
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","3",9.09940751615296
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","1",5.33969109305913
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","2",7.54998657566206
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","3",6.78628450284202
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","1",9.49721481753611
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","2",9.28803621478392
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","3",7.36212979529243
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","1",6.26324929832604
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","2",8.43655170930972
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","3",8.73353855386374
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","1",9.34671092266195
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","2",8.42656051888464
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","3",6.94783558445888
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","1",7.16295205668092
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","2",7.3601518538964
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","3",7.93340054404631
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","1",6.35922502547574
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","2",7.96988223036314
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","3",9.44099940463127
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","1",5.8126317895197
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","2",6.61997170249772
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","3",6.08041441702971
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","1",6.02700655067857
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","2",4.6507722137588
"DJ_Dance","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","3",5.61332120755212
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","1",7.21096443456643
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","2",8.70810868079072
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","3",4.33076640597393
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","1",8.11386143098223
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","2",8.20632608689887
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","3",1.15158832769301
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","1",1.73208791533513
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","2",5.59262511028864
"DJ_Dance","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","3",4.72841185665741
"DJ_Dance","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","1",3.94802058526931
"DJ_Dance","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","2",6.23390703358015
"DJ_Dance","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","3",2.02193414834125
"DJ_Dance","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","1",2.37940477380235
"DJ_Dance","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","2",4.19407853810886
"DJ_Dance","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","3",5.73013359106764
